ID,EventName,EventDate,StartDate,EndDate,Location,HybridNotes,EventLink,Year
93,TechTogether New York,Dec 4th - 6th,2020-12-04,2020-12-04,2020-12-06,"Everywhere, Worldwide",Digital Only,https://newyork.techtogether.io/,2021
94,Code for Good,Dec 5th - 6th,2020-12-05,2020-12-05,2020-12-06,"Everywhere, Worldwide",Digital Only,https://hackduke.org/,2021
95,Who Done It Hacks?,Dec 11th - 13th,2020-12-11,2020-12-11,2020-12-13,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/6047-who-done-it-hacks,2021
96,Hack Off v3.0,Dec 12th - 13th,2020-12-12,2020-12-12,2020-12-13,"Everywhere, Worldwide",Digital Only,https://www.hackoff.tech/,2021
97,HackUMass,Dec 18th - 20th,2020-12-18,2020-12-18,2020-12-20,"Everywhere, Worldwide",Digital Only,https://hackumass.com/,2021
98,Winter Hacklympics,Dec 18th - 20th,2020-12-18,2020-12-18,2020-12-20,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/6048-winter-hacklympics,2021
99,Execute,Dec 19th - 20th,2020-12-19,2020-12-19,2020-12-20,"Everywhere, Worldwide",Digital Only,https://executehack.in/,2021
100,Holiday Hacks,Dec 25th - 27th,2020-12-25,2020-12-25,2020-12-27,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/6051-holiday-hacks,2021
101,New Year New Hack,Jan 1st - 3rd,2021-01-01,2021-01-01,2021-01-03,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/6052-new-year-new-hack,2021
102,SheHacks,Jan 8th - 10th,2021-01-08,2021-01-08,2021-01-10,"Everywhere, Worldwide",Digital Only,https://shehacks.ca/,2021
103,Snakes and Hackers,Jan 8th - 10th,2021-01-08,2021-01-08,2021-01-10,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/6267-snakes-and-hackers,2021
104,nwHacks,Jan 9th - 10th,2021-01-09,2021-01-09,2021-01-10,"Everywhere, Worldwide",Digital Only,https://www.nwhacks.io/,2021
105,Local Hack Day: Build,Jan 10th - 18th,2021-01-10,2021-01-10,2021-01-18,"Everywhere, Worldwide",Digital Only,https://localhackday.mlh.io/build,2021
106,CruzHacks,Jan 15th - 17th,2021-01-15,2021-01-15,2021-01-17,"Everywhere, Worldwide",Digital Only,https://www.cruzhacks.com/,2021
107,Elle Hacks,Jan 15th - 17th,2021-01-15,2021-01-15,2021-01-17,"Everywhere, Worldwide",Digital Only,https://ellehacks.com/,2021
